Character,Sentence
Hermione," You don't use your eyes, do you? "
Hermione,Didn't you see what it was standing on?
Ron,I wasn't looking at its feet! 
Ron,I was a bit preoccupied with its heads. 
Ron,"Or maybe you didn't notice, there were three!"
Hermione,It was standing on a trap door. 
Hermione,Which means it wasn't there by accident. 
Hermione,It's guarding something.
Harry,Guarding something?
Hermione,That's right. 
Hermione,"Now, if you two don't mind, I'm going to bed before either of you come up with another clever idea to get us killed...or worse, expelled!"
Ron,She needs to sort out her priorities!
Oliver,Quidditch is easy enough to understand. 
Oliver,"Each time has seven players, 3 chasers, 2 beaters, 1 keeper and a seeker that's you. "
Oliver,There are three kinds of balls. 
Oliver,This one's called the Quaffle.
Oliver,"Now, the chasers handle the Quaffle and try to put it through one of those three hoops. "
Oliver,"The keeper, that's me, defends the hoops. "
Oliver,With me so far?
Harry,I think so. 
Harry,What are those?
Oliver,You better take this. 
Oliver,"Careful now, it's comin' back. "
Oliver,"Eh, not bad, Potter, you'd make a fair beater...Uh-oh. "
Harry,What was that?
Oliver,Bludger. Nasty little buggers. 
Oliver,But you are a Seeker.
Oliver,The only ball I want you to worry about is this...the Golden Snitch. 
Harry,I like this ball.
Oliver,"Ah, you like it now. "
Oliver,Just wait. 
Oliver,It's wicked fast and damn near impossible to see.
Harry,What do I do with it?
Oliver,You catch it...before the other team's seeker. 
Oliver,"You catch this, the game is over. "
Oliver,"You catch this, Potter, and we win."
Harry,Whoa.
Flitwick,One of a wizard's most rudimentary skills is levitation the ability to make objects fly. 
Flitwick,"Uh, do you all have your feathers? Good. "
Flitwick,"Now, uh, don't forget the nice wrist movement we've been practicing, hmm? "
Flitwick,The swish and flick. Everyone. 
Class,The swish and flick. 
Flitwick,Good. 
Flitwick,And enunciate. 
Flitwick,Wingardium Leviosa. 
Flitwick,Off you go then.
Draco,Wingardium Levio-saaa.
Ron,Wingardrium Leviosar. 
Hermione,"Stop, stop, stop."
Hermione,You're going to take someone's eye out. 
Hermione,"Besides, youre saying it wrong. "
Hermione,"It's Leviosa, not Leviosar."
Ron,You do it then if you're so clever. 
Ron,"Go on, go on."
Hermione,Wingardium Leviosa.
Flitwick,"Oh, well done! "
Flitwick,"See here, everyone! "
Flitwick,Ms. Granger's done it! 
Flitwick,"Oh, splendid!"
Seamus,Wingard Levosa. Wingardly Lev... 
Flitwick,Whooaaa! Ooh.
Harry,"I think we're going to need another feather over here, Professor."
Ron,"It's Leviosa, not Leviosar. "
Ron,"Honestly, she's a nightmare. "
Ron,No wonder she hasn't got any friends!
Harry,I think she heard you.
Harry,Where's Hermione?
Neville,Parvati Patil said that she wouldn't come out of the girl's bathroom. 
Neville,She said that she'd been in there all afternoon...crying.
Quirrell,TROLL! IN THE DUNGEON! 
Quirrell,T-TROOLLL IN THE DUNGEON!! 
Quirrell,Thought you ought to know. 
Dumbledore,SILLLLLEEENNNNCEEEEE!
Dumbledore," Everyone will please, not panic. "
Dumbledore,"Now, Prefects will lead their houses back to the dormitories. "
Dumbledore,Teachers will follow me to the dungeons.
Girl,"Hufflepuff, this way!"
Boy,Stay together!
Percy,Gryffindors...keep up please. 
Percy,And stay alert!
Harry,How could a troll get in?
Ron,Not by itself. 
Ron,Trolls are really stupid. 
Ron,Probably people playing jokes.
Ron,What?
Harry,Hermione! 
Harry,She doesn't know!
Ron,I think the troll's left the dungeon.
Harry,It's going into the Girl's Bathroom!
Harry,"Hermione, move!"
Hermione,Help! Help!
Ron,"Hey, pea brain! "
Hermione,Ahhh! Help!
Harry,"Whooa! Whoa, whoa! "
Harry,Do something!
Ron,What?
Harry,Anything! 
Harry,Hurry up!
Hermione,Swish and flick!
Ron,Wingardium Leviosa! 
Ron,Cool!
Hermione,Is it...dead?
Harry,I don't think so. 
Harry,Just knocked out. 
Harry, Ew. Troll bogies.
Mcgonagall,"Oh! Oh, my goodness! "
Mcgonagall,"E-Explain yourselves, both of you!"
Ron and harry,"Well, what it is..."
Hermione,"It's my fault, Professor McGonagall. "
Mcgonagall, Ms. Granger?
Hermione,I went looking for the troll. 
Hermione,I'd read about them and thought I could handle it. 
Hermione,But I was wrong. 
Hermione,If Harry and Ron hadn't come and found me...
Hermione,I'd probably be dead.
Mcgonagall,Be that as it may...it was an extremely foolish thing to do. 
Mcgonagall,I would have expected more rational behaviour on your part and I am very disappointed in you Ms. Granger. 
Mcgonagall,5 points will be taken from Gryffindor for your serious lack of judgment. 
Mcgonagall,As for you two gentlemen I just hope you realize how fortunate you are. 
Mcgonagall,Not many first year students could take on a full grown mountain troll and live to tell the tale. 
Mcgonagall,5 points...will be awarded to each of you. 
Mcgonagall,For sheer dumb luck. 
Quirrell,Perhaps you ought to go...
Quirrell,M-might wake up...heh.Ahh! Hehe....
Harry,Good of you to get us out of trouble like that.
Ron,"Mind you, we did save her life."
Harry,"Mind you, she might not have needed saving if you hadn't insulted her."
Ron,What are friends for?
Ron,"Take a bit of toast, mate. Go on."
Hermione,"Ron's right, Harry. "
Hermione,You're gonna need your strength today.
Harry,I'm not hungry.
Snape,"Good luck today, Potter. "
Snape,"Then again, now that you've proven yourself against a troll, a little game of Quidditch should be easy work for you...even if it is against Slytherin."
Harry,That explains the blood.
Hermione,Blood?
Harry,"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. "
Harry,"But, he got himself bitten, that's why he's limping."
Hermione, But why would anyone go near that dog?
Harry,"The day I was at Gringotts, Hagrid took something out of one of the vaults."
Harry," He said it was Hogwarts' business, very secret."
Hermione,So you're saying...
Harry,That's what the dog's guarding. 
Harry,That's what Snape wants.
Hermione,"Bit early for mail, isn't it?"
Harry,But I-I never get mail.
Ron,Let's open it.
Harry,It's a broomstick!
Ron,"Thats not just a broomstick, Harry. "
Ron,It's a Nimbus 2000!
Harry,But who...?
Oiiver,"Scared, Harry?"
Harry,A little.
Oliver,That's all right. 
Oliver,I felt the same way before my first game.
Harry,What happened?
Oliver,"Er, I don't really remember. "
Oliver,I took a bludger to the head 2 minutes in. 
Oliver,Woke up in the hospital a week later.
Lee jordan,"Hello, and welcome to Hogwarts' first Quidditch game of the season! "
Lee jordan,Today's game Slytherin versus Gryffindor!!!
Lee jordan,The players take their positions as Madam Hooch steps out onto the field to begin the game.
Madam hooch,"Now, I want a nice clean game...from all of you. "
Lee jordan,The bludgers are up...followed by the Golden Snitch. 
Lee jordan,"Remember, the snitch is worth 150 points. "
Lee jordan,The seeker who catches the Snitch ends the game.
Lee jordan,The Quaffle is released...and the game begins!
Lee jordan,Angelina Johnson scores! 
Lee jordan,10 points for Gryffindor! 
Harry,Yes! Whoa!
Hagrid,Well done!
Lee jordan,Slytherin takes possession of the Quaffle.
Lee jordan,Bletchley passes to Captain Marcus Flint.
Harry,Yes!
Lee jordan, Another 10 points to Gryffindor! 
Gryffindors,Yay!
Flint,Give me that! 
Crowd,Boooo!!
Flint,Take that side!
Harry,Whoa! Whooa!
Hagrid,What's going on with Harry's broomstick?
Hermione,It's Snape! 
Hermione,He's jinxing the broom!
Ron,Jinxing the broom? 
Ron,What do we do?
Hermione,Leave it to me. 
Ron,"Come on, Hermione!"
Hermione,Lacarnum Inflamarae.
Man,Fire! You're on fire!
Snape,What? Oh!
Ron,Go!
Hagrid,Go go go!
Hagrid,Looks like he's gonna be sick.
Lee  jordan,He's got the Snitch! 
Lee  jordan,Harry Potter receives 150 points for catching the Snitch!
Madam hooch,Gryffindor win!
All,YAY!
Draco,No!
Hagrid,Yes!
Hermione,Whoo-hoo!
Crowd,Go go Gryffindor! Go go Gryffindor! 
Hagrid,Nonsense. 
Hagrid,Why would Snape put a curse on Harry's broom?
Harry,Who knows. 
Harry,Why was he trying to get past that 3 headed dog on Halloween?
Hagrid,Who told you 'bout Fluffy?
Ron,Fluffy?
Hermione,That thing has a name?
Hagrid," Well, of course he's got a name. "
Hagrid,He's mine. 
Hagrid,I bought him off an Irish feller I met down at the pub last year. 
Hagrid,Then I lent him to Dumbledore to guard the
Harry,Yes?
Hagrid,Shouldn'ta said that.  No more questions!
Hagrid,Don't ask any more questions. 
Hagrid,"That's top secret, that is."
Harry,"But Hagrid, whatever Fluffy's guarding, Snape's trying to steal it!"
Hagrid,Codswallop. 
Hagrid,Professor Snape is a Hogwarts teacher.
Hermione,"Hogwarts teacher or not, I know a curse when I see one. "
Hermione,I've read all about them. 
Hermione,You have to keep eye contact. 
Hermione,And Snape wasn't blinking.
Harry,Exactly.
Hagrid,"Now, you listen to me, all three of you. "
Hagrid,You're meddlin' in things that ought not to be meddled in. 
Hagrid,It's dangerous.
Hagrid,What that dog is guarding is strictly between Professor Dumbledore and Nicholas Flamel.
Harry,Nicholas Flamel?
Hagrid,I shouldn't have said that. 
Hagrid,I should not have said that. 
Hagrid,I should not have said that. 
Harry,Nicholas Flamel...Who's Nicholas Flamel?
Hermione,I don't know.
Harry,Knight to E-5.
Ron,Queen to E-5.
Hermione,That's totally barbaric!
Ron,That's wizard's chess. 
Ron,I see you've packed.
Hermione,See you haven't.
Ron,Change of plans. 
Ron,"My parents decided to go to Romania to visit my brother, Charlie. "
Ron,He's studying dragons there!
Hermione,"Good. You can help Harry, then. "
Hermione,He's going to go the library for information on Nicholas Flamel.
Ron,We've looked a hundred times!
Hermione,Not in the restricted section...
Hermione,Happy Christmas.
Ron,I think we've had a bad influence on her.
Ron,"Harry, wake up! "
Ron,"Come on Harry, wake up!"
Ron,"Happy Christmas, Harry."
Harry,"Happy Christmas, Ron. "
Harry,What are you wearing?
Ron,"Oh, Mum made it. "
Ron,Looks like you've got one too!
Harry,I've got presents?
Ron,Yeah!
Harry,Oh! 
Ron,There they are. 
Harry,Your father left this in my possession before he died.
Harry,It is time it was returned to you.
Harry,Use it well.
Ron,What is it?
Harry,Some kind of...cloak.
Ron,"Well, let's see then. "
Ron,Put it on.
Ron,Whoa!
Harry,My body's gone!
Ron,I know what that is! 
Ron,That's an invisibility cloak!
Harry,I'm invisible??
Ron,They're really rare. 
Ron,I wonder who gave it to you.
Harry,There was no name. 
Harry,"It just said, ""Use it well."""
Harry,Famous fire eaters...
Harry,15th Century Fiends...Flamel...
Harry,Nicholas Flamel...where are you?
Man,AHHHHHHHHHHHHHHHH!!!!!!!!
Filch,Who's there?! 
Filch,I know you're in there. 
Filch,You can't hide. 
Filch,Who is it? 
Filch,Show yourself!
Quirrell,Severus...I-I thought...
Snape,"You don't want me as your enemy, Quirrell."
Quirrell, W-what do you m-mean?
Snape,You know perfectly well what I mean. 
Snape,We'll have another chat soon...
Snape,When you've had time to decide where your loyalties lie.
Filch,"Oh, Professors. I found this, in the Restricted Section. "
Filch,It's still hot. 
Filch,That means there's a student out of bed.
Harry,Mum? Dad? 
Harry,Ron! You've really got to see this! 
Harry,Ron! You've got to see this! 
Harry,"Ron, Ron, come on. Get out of bed!"
Ron,Why?
Harry,There's something you've got to see. 
Harry,"Now, come on!"
Harry,"Come on. Come. Come look, it's my parents!"
Ron,I only see us.
Harry,Look in properly. Go on. 
Harry,Stand there. There. 
Harry,"You see them, don't you? "
Harry,Thats my dad
Ron,"That's me! Only, I'm head boy...and "
Ron,I'm holding the Quidditch cup! 
Ron,"And bloody hell, I'm Quidditch Captain too! "
Ron,I look good. 
Ron,"Harry, do you think this mirror shows the future?"
Harry,How can it? 
Harry,Both my parents are dead.
George,"Do you like yours, Ron?"
George,Ron?
Ron,I'll be right back.
Ron,Wanna play chess?
Harry,No.
Ron,Wanna go and visit Hagrid?
Harry,No.
Ron,"Harry, I know what you're thinking, but don't."
Ron,There's something not right about that mirror.
Dumbledore,"Back again, Harry?"
Dumbledore,"I see that you, like so many before you, have discovered the delights of the Mirror of Erised. "
Dumbledore,I trust by now you realize what it does. 
Dumbledore,Let me give you a clue. 
Dumbledore,"The happiest man on earth would look into the mirror and see only himself, exactly as he is."
Harry,"So, then it shows us what we want? "
Harry,Whatever we want?
Dumbledore,Yes...and no. 
Dumbledore,"It shows us nothing more or less than the deepest, most desperate desires of our hearts. "
Dumbledore,"Now you, who have never known your family, you see them standing beside you. "
Dumbledore,"But remember this, Harry. "
Dumbledore,This mirror gives us neither knowledge or truth. 
Dumbledore,"Men have wasted away in front of it, even gone mad. "
Dumbledore,"That is why tomorrow it will be moved to a new home, and I must ask you not to go looking for it again."
Dumbledore,"It does not do to dwell on dreams, Harry, and forget to live."
Hermione,"Look at you, playing with your cards."
Hermione,Pathetic!
Hermione,We've got final exams coming up soon.
Ron,I'm ready. Ask me any question.
Hermione,"Alright, what are the 3 most crucial ingredients in a Forgetfulness Potion?"
Ron,I forgot.
Hermoine,"And what, may I ask, do you plan to do if this comes up in the final exam?"
Ron,Copy off you.
Hermoine,"No, you won't."
Hermoine,"Besides, according to Professor McGonagall, we're to be given special quills bewitched with an Anti Cheating Spell."
Ron,That's insulting! 
Ron,It's as if they don't trust us! Dumbledore again!
Ron,Leg-Locker Curse?
Harry,Malfoy.
Ron,"You have got to start standing up to people, Neville."
Neville,How? I can barely stand at all!
Seamus,I'll do the countercurse!
Neville,"No, that's all I need!"
Neville,You to set my bloody kneecups on fire!
Seamus,"I don't appreciate the insinuation, Longbottom."
Seamus,"Besides, if anyone cared to notice my eyebrows have completely grown back!"
Harry,I found him!
Ron,Dumbledore is particularly famous for his defeat of the dark wizard Grindelwald in 1945.
Harry,Go on!
Ron,"For the discovery of the twelve uses of dragon blood...and his work on alchemy with his partner, Nicholas Flamel!"
Harry,I knew the name sound familiar.
Harry,I read it on the train that day.
Hermione,Follow me!
Neville,Hey! Wait! Where are you going?
Neville,What about the countercurse?
Hermione,I had you looking in the wrong section! 
Hermione,How could I be so stupid? 
Hermione,I checked this out a few weeks ago for a bit of light reading.
Ron,This is light?
Hermione,Of course! Here it is! 
Hermione,Nicholas Flamel is the only known maker of the Philosopher's Stone!
Ron and harry,The what?
Hermione,"Honestly, don't you two read? "
Hermione,The Philosopher's Stone is a legendary substance with astonishing powers. 
Hermione,"It will turn any metal into pure gold and produces the Elixir of Life, which will make the drinker immortal."
